seed,variant,n,shared_mean,embed_mean,unemb_mean,embed_unemb_cos_mean,unemb_over_embed_mean,shared_last,embed_last,unemb_last,cos_last,vocab_lora_mean,mul_lora_mean,mul_over_vocab_mean,vocab_over_shared_mean,mul_over_shared_mean,embedding_lora_a_mean,embedding_lora_b_mean,embedding_mul_a_mean,embedding_mul_b_mean,output_lora_mean,output_lora_over_shared_mean,output_lora_a_mean,output_lora_b_mean
42,s13,27,0.07853995429144965,0.03650535394748052,0.06954257824906597,-0.002023865590604988,1.9049966848456092,0.07325983047485352,0.037212975323200226,0.06322449445724487,-0.003217436373233795,0.011518923756019983,0.01952257038991998,1.694825905911319,0.14666323478207072,0.24856864975340748,0.006637471193378723,0.009379979912881498,0.0042567999723056955,0.019031816024195264,,,,
42,s5,27,0.07851957419404278,0.03609425505554235,0.06971702890263663,-0.0015996648602325607,1.9315270198915337,0.07223757356405258,0.03634084016084671,0.06248820573091507,-0.0015776895452290773,,,,,,,,,,0.023013003664590626,0.2930862004895667,0.01893106303005307,0.012506149260810128
42,s1,27,0.07835808120391986,0.035988778013873984,0.06957779300433618,-0.0008587715026267149,1.9333191301331027,0.07332393527030945,0.03641379624605179,0.06370314210653305,-0.0016500941710546613,,,,,,,,,,,,,
42,s4,27,0.07816598647170597,0.03543431960322239,0.0696292296051979,-0.0007484882619421653,1.9650223394967021,0.072498619556427,0.03583613038063049,0.06311188638210297,-0.0024955989792943,,,,,,,,,,,,,
42,s6,27,0.07847039649883907,0.03690766998463207,0.06919255149033335,-0.0005783658190112975,1.8747472143092299,0.07368355244398117,0.0380227193236351,0.06309596449136734,0.0005080831469967961,,,,,,,,,,,,,
42,s12,2,0.10835861787199974,0.04971048980951309,0.09587094187736511,0.006201153388246894,1.9285857420583754,0.10326787084341049,0.04477311298251152,0.09334487468004227,-0.0064178709872066975,,,,,,,,,,,,,
123,s13,27,0.07736566524814677,0.035497920104750884,0.06875288996983457,-0.0014311779199892448,1.9368146011639986,0.07292797416448593,0.035205353051424026,0.06379033625125885,0.0021964642219245434,0.011737046618131512,0.013963263129849444,1.189674334962498,0.15170872738553312,0.18048397936039104,0.006425054191991135,0.009788399424265933,0.003798187451644076,0.013384873564872477,,,,
123,s5,27,0.07890603442986806,0.036697683235009514,0.06980651368697484,-0.0002886362889074479,1.9022049223090893,0.07262793183326721,0.037001144140958786,0.06258941441774368,-0.002526642754673958,,,,,,,,,,0.027557137355466582,0.3492399225810728,0.02447545776764552,0.012263137398770562
123,s1,27,0.07932893987055178,0.036503138641516365,0.07037614492906465,-0.0005160225663092677,1.9279477751270204,0.07317791134119034,0.036628831177949905,0.06332702189683914,0.0006518758018501103,,,,,,,,,,,,,
123,s4,27,0.0781489160877687,0.03569902810785505,0.06944152740416704,0.000657588625068052,1.9451937793479437,0.07249853014945984,0.03579556196928024,0.06301196664571762,0.000932520953938365,,,,,,,,,,,,,
123,s6,27,0.07894289824697706,0.03754969755256617,0.06930497647435577,0.0015751119440042035,1.8456866763663031,0.07422660291194916,0.03787313029170036,0.06363275647163391,0.005412313621491194,,,,,,,,,,,,,
123,s12,27,0.07835723763262784,0.03618301299435121,0.06954360394566148,-0.0021563586002836623,1.9219959365052994,0.07190704345703125,0.03535246476531029,0.06257760524749756,0.0011006853310391307,,,,,,,,,,,,,
2026,s13,27,0.0781016868573648,0.03618127273188697,0.06918548792600632,-0.0005121396647559272,1.912190553347571,0.07277953624725342,0.03570970147848129,0.06335052847862244,0.001854089554399252,0.011942368426624808,0.015245949290511047,1.276626942484968,0.15290794484932016,0.1952064021146477,0.006554683911855574,0.009946815497069448,0.004359563208978485,0.014546841072539488,,,,
2026,s5,27,0.07774839053551356,0.035459946703027795,0.06915105810319935,-0.0005590553908539867,1.9501173727735692,0.07204990088939667,0.035870131105184555,0.06252425163984299,-0.0010613694321364164,,,,,,,,,,0.02358440106871864,0.30334262749716806,0.019766453274146275,0.01260467177187955
2026,s1,27,0.07812453806400299,0.03552263230085373,0.06957995463852529,-0.0018234459696234101,1.9587499611297963,0.0727747455239296,0.03595581278204918,0.06335290521383286,-0.0022494113072752953,,,,,,,,,,,,,
2026,s4,27,0.07803466474568402,0.0352207892746837,0.06959032570874249,-0.0008190705675924955,1.975830955008246,0.07270725071430206,0.03539520874619484,0.06340532004833221,0.0029606143943965435,,,,,,,,,,,,,
2026,s6,27,0.07919294000775726,0.03766370481914944,0.06954505943037846,0.0007710377394687384,1.8464742054536152,0.0738150104880333,0.03796737641096115,0.06341024488210678,-0.002850569551810622,,,,,,,,,,,,,
2026,s12,27,0.07798512638718993,0.035588226936481615,0.06946615447048787,-0.0030410051587279195,1.9519419889749516,0.0714566707611084,0.034770417958498,0.062446556985378265,-0.0005751992575824261,,,,,,,,,,,,,
